event_id,room_id
E:Y8KHX7NR4A,0226_01_1.12
E:VR5VKON81U,0229_01_1.C
E:JXR9U9UMXG,0555_00_G.9
E:2NKM6SSIYV,0226_-1_LG.10
E:J2UDKXDSM6,0225_02_2.201
E:O8HU1JZFVQ,0226_01_1.07
E:1KKYP48S2S,0003_00_G.03
E:TO2WS6X492,0225_02_2.201
E:M6URK9ZUVK,0226_-1_LG.10
E:2CJPLCVUDJ,0252_01_1.2
E:IJ7PCKV594,0201_02_2.06
E:JH8VVS5D8B,0113_00_G.152
E:L2Q83DS4P1,0131_04_4.07
E:R276JISFO8,0226_-1_LG.18
E:SH4XSIVYTS,0201_00_G.05
E:YIN64PAS9H,0551_00_G36B
E:4HRHARLXV6,0003_00_G.02
E:6USFTUFRCY,0228_-1_LG.08
E:UPWHSSCSNC,0616_02_02.02-E
E:1DGWEVHDOT,0226_01_1.12
E:93CECVO3RL,0226_-1_LG.19
E:92GGHXA8A2,0226_01_1.07
E:PV2BMWX7S5,0226_00_GF.14
E:12DKCORHBQ,0227_02_2.30
E:59YZAKTMG8,0226_00_GF.14
E:SQ7A12HO8G,0226_-1_LG.11
E:JW5A33BBXB,0103_01_1.B04
E:UP7EXA3PB7,0335_00_G.12
E:KTOQ1D5X4F,0226_-1_LG.14
E:7AT4Y21RSO,0226_01_1.12
E:Y3JW9ZYM5X,0201_00_G.05
E:GDEKHKTKFH,0229_01_1.C
E:16CPPSZFQO,0252_01_1.2
E:XKEABHDR5Z,0201_00_G.05
E:C9HB79BN5T,0226_-1_LG.11
E:LMKN6Q1959,0616_02_02.02-E
E:F38CP565E1,0228_09_9.18
E:LJED7A2J8L,0229_01_1.B
E:ED811EUFV1,0228_-1_LG.09
E:BBA7J3OPTB,0335_00_G.12
E:NZ2N6YWFZC,0003_00_G.03
E:SRWGRBT873,0229_01_1.C
E:DWYYAPR6QU,0252_01_1.2
E:3UNBYEYBRU,0335_03_3.4
E:PC6997ADHL,0226_-1_LG.14
E:MWU6VPBYA8,0226_01_1.12
E:5KRB82KM7L,0003_00_G.02
E:DRNOQ27SSU,0226_-1_LG.10
E:XP71I543L9,0113_00_G.09
E:ZGG2THHQOL,0226_01_1.12
E:NQTCUQPU7Z,0226_01_1.12
E:7RCVGWI3LX,0252_01_1.2
E:TUS2PQRJ67,0003_00_G.02
E:W3RSAY22YC,0008_02_2.365
E:5QOUR556D8,0228_-1_LG.09
E:PF6YLQM2RF,0113_01_1.416
E:GTQ9JXSKCK,0252_01_1.2
E:DY67HENEHH,0201_00_G.05
E:BTNAPV8NH9,0450_02_2.20
E:5JS9U33ATP,0226_-1_LG.14
E:GUEVC28PS4,0226_00_GF.14
E:JM2MW14O8D,0103_01_1.B15
E:FGZH3R7EAR,0226_01_1.12
E:9YA44XHVR8,0226_01_1.12
E:OW7B48YHIH,0226_-1_LG.11
E:I4RE1UJUWT,0226_01_1.07
E:1496BFU13E,0131_04_4.07
E:EORO7JHGT8,0201_02_2.07
E:K5HY62WBKK,0226_01_1.07
E:3K9PJUCKQA,0226_-1_LG.11
E:T9UQDW8CVP,0335_02_2.1
E:59QL84NTXI,0229_01_1.A
E:RVA4MPVQV1,0226_01_1.07
E:OC1QURKK3A,0335_00_G.12
E:ES361N973L,0226_-1_LG.14
E:3Q2U1UQ7G2,0112_-1_B.06
E:YOKOEB1F9G,0226_-1_LG.19
E:GJRI8KICTK,0252_01_1.2
E:8X4TB9ABF7,0208_00_G.8
E:ETEHJR9GYQ,0616_02_02.02-E
E:OKOC2E3185,0226_-1_LG.18
E:3XJMXLPYLX,0252_01_1.2
E:MXW8NPPL6F,0226_-1_LG.18
E:VLMR7J6V6M,0003_01_1.05
E:HPFBN1MB8L,0001_00_G.159
E:C42KUJDGFU,0226_-1_LG.10
E:O39T887DWO,0003_01_1.02
E:6FRJVBPJZP,0226_01_1.12
E:716SNBJJ7K,0226_01_1.12
E:N3E7F4QURW,0113_00_G.152
E:UONH8XKYVA,0401_01_1.01
E:1MXQMB99QX,0226_-1_LG.18
E:XUMNGC5HE9,0228_-1_LG.11
E:Z3QULIBIDY,0226_01_1.07
E:PAMPWNGAJM,0226_-1_LG.10
E:A9OL7TYFHW,0226_-1_LG.11
E:C7RJBCI3TN,0003_00_G.01
E:8XDLF5ZN2C,0003_01_1.03
E:1PLGONRXU8,0226_01_1.07
E:EOYUV6JNIB,0226_01_1.12
E:4ML7P8PA58,0113_00_G.152
E:4XICMK913K,0616_02_02.02-E
E:A574KW9WS7,0226_00_GF.14
E:8TDBN759QY,0226_01_1.07
E:89NDT5X2DC,0226_00_GF.14
E:ECBICJTZXO,0001_01_1.274
E:M55JHVTPAV,0335_04_4.3
E:OEL34I8T3P,0201_00_G.05
E:4XO4ED7VDN,0616_02_02.02-E
E:ZSLLAGE28C,0226_01_1.07
E:2YTXK9M2AD,0003_00_G.03
E:SXA8ROPR2P,0252_01_1.2
E:KPKAJ6HI1U,0228_-1_LG.10
E:ALYDIY73KJ,0201_00_G.05
E:J56MFZKTO1,0226_-1_LG.18
E:N8S2S5TQTB,0335_01_1.2
E:WJ8SGSTVP3,0226_-1_LG.14
E:3K6PJFCOP1,0201_02_2.06
E:E7IZ6QLZJ9,0103_01_1.B15
E:KTC7N92TJQ,0201_00_G.05
E:92MBUXEH27,0226_-1_LG.11
E:C8BC5RCJ8L,0422_J_J.03
E:PKUFINJ3QJ,0226_01_1.12
E:S3T9HZ3H1N,0226_01_1.12
E:WFIQFOPFWB,0201_00_G.05
E:O86H9K1SJJ,0226_01_1.12
E:6C3E7U91VZ,0226_-1_LG.10
E:W1X8YKSSSF,0226_-1_LG.10
E:6MTPFEEJQH,0450_02_2.35
