event_id,room_id
E:TXL1S757OW,0003_00_G.03
E:A1SAVZEQEI,0226_00_GF.14
E:HJYULTQWF2,0247_00_G.12
E:MNGQSJ2Q1F,0551_-1_LG48
E:US3FOC3MYZ,0103_01_1.B09
E:2X2YB79RNR,0335_01_1.2
E:C6Q3JFCNVV,0226_-1_LG.19
E:LS13ALEZWM,0131_04_4.07
E:KMB65JXRD2,0252_01_1.2
E:9EINFYTU25,0201_00_G.05
E:18S4SRA4NT,0219_00_G.01
E:8RDSH184UY,0201_00_G.05
E:IJ1AY31BMK,0450_03_3.52
E:79YOUSIYPW,0450_03_3.35
E:IXHY88U528,0226_-1_LG.18
E:O7TSF4OHMI,0311_04_4.09
E:BJTPQ36KPA,0450_03_3.52
E:OLAJFKCOYM,0226_-1_LG.19
E:9HBYYB9JO8,0226_00_GF.14
E:HTPCFXIVG9,0226_01_1.12
E:19JP4WELXL,0226_-1_LG.11
E:Q37VULSW8X,0226_-1_LG.18
E:XX7YEYZYM1,0226_01_1.07
E:JBP77PTVM7,0226_01_1.12
E:8DWJI12M85,0113_01_1.416
E:KHPE42H5F7,0113_00_G.10
E:OWSSL5OCFB,0226_-1_LG.10
E:U7YBH6Z6WG,0003_01_1.01
E:PSPATLZI1U,0616_02_02.02-E
E:2DOV5JO6BM,0226_01_1.12
E:LGFHH99MLW,0226_-1_LG.10
E:65AMJO8BQ1,0226_-1_LG.19
E:JFGLTCB5OA,0551_-1_LG49
E:XBROIXH6NC,0226_01_1.07
E:ILU28PHSJJ,0254_01_1.03
E:3VX7JUBIPD,0226_-1_LG.14
E:1VP6PJAPTE,0254_01_1.08
E:A1OC4D4JIH,0113_00_G.07
E:MKVAGQIUKB,0201_00_G.05
E:NI3RL43FBW,0226_-1_LG.18
