description,capacity,building,building_1,campus,central_local,room_type,specialist_room_type,has_a_24_5_event,room_id,capacity_source
B1.02,16.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0591_-1_B1.02,rooms_table
B1.03,16.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0591_-1_B1.03,rooms_table
B1.04,14.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0591_-1_B1.04,rooms_table
B1.05,16.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0591_-1_B1.05,rooms_table
B1.06,16.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0591_-1_B1.06,rooms_table
B1.07,16.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0591_-1_B1.07,rooms_table
B1.08,16.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0591_-1_B1.08,rooms_table
B1.09,16.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0591_-1_B1.09,rooms_table
B1.10,14.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0591_-1_B1.10,rooms_table
Bessie Watson Lecture Room,150.0,591,Outreach Centre,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0591_-1_B1.11,rooms_table
G1,240.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G1,rooms_table
G21,60.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G21,rooms_table
G28 - COL,12.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G28,rooms_table
G30 - COL,10.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G30,rooms_table
G32 - COL,12.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G32,rooms_table
G33 - COL,10.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G33,rooms_table
G34 - COL,18.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_00_G34,rooms_table
G35 - COL,16.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Group Cluster Style,General Teaching,Yes,0551_00_G35,rooms_table
G36B - COL,14.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G36B,rooms_table
G36A - COL,12.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G36A,rooms_table
G37,25.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G37,rooms_table
G38 - COL,18.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_00_G38,rooms_table
G42,55.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G42,rooms_table
G43,59.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_00_G43,rooms_table
G44 - COL,12.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_00_G44,rooms_table
1.18,60.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_01_1.18,rooms_table
1.19,40.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_01_1.19,rooms_table
1.21,40.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_01_1.21,rooms_table
1.26,60.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_01_1.26,rooms_table
1.27,25.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_01_1.27,rooms_table
1.37,35.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_01_1.37,rooms_table
LG23 - COL,10.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1_LG23,rooms_table
LG34,120.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0551_-1_LG34,rooms_table
LG44 - COL,14.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1_LG44,rooms_table
LG45 - COL,14.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1_LG45,rooms_table
LG46 - COL,16.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1_LG46,rooms_table
LG47 - COL,16.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1_LG47,rooms_table
LG48 - COL,20.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1_LG48,rooms_table
LG49 - COL,18.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1_LG49,rooms_table
M1 - COL,16.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0551_-1M_M1,rooms_table
M14 - COL,16.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1M_M14,rooms_table
M16 - COL,14.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1M_M16,rooms_table
M18 - COL,6.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1M_M18,rooms_table
M2 - COL,20.0,551,Patersons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0551_-1M_M2,rooms_table
4.22,25.0,553,St Johns Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0553_04_422,rooms_table
