description,capacity,building,building_1,campus,central_local,room_type,specialist_room_type,has_a_24_5_event,room_id,capacity_source
G.09 Seminar Room - Doorway 4,15.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_00_G.09,rooms_table
G.10 Seminar Room - Doorway 4,15.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_00_G.10,rooms_table
G.11 Seminar Room - Doorway 4,15.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_00_G.11,rooms_table
G.12 Seminar Room - Doorway 4,15.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_00_G.12,rooms_table
G.13 Seminar Room - Doorway 4,26.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_00_G.13,rooms_table
G.14 Seminar Room - Doorway 4,26.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_00_G.14,rooms_table
G.15 Seminar Room - Doorway 4,29.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_00_G.15,rooms_table
Teviot Lecture Theatre - Doorway 5,200.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0113_00_G.152,rooms_table
G.16 Seminar Room - Doorway 4,45.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_00_G.16,rooms_table
Teaching Room 06 (G.199) - Doorway 3,8.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_00_G.199,rooms_table
Teaching Room 05 (G.200) - Doorway 3,16.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_00_G.200,rooms_table
Teaching Room 04 (G.202B) - Doorway 3,12.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_00_G.202B,rooms_table
Teaching Room 02 (G.203) - Doorway 3,20.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_00_G.203,rooms_table
Teaching Room 01 (G.204) - Doorway 3,20.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_00_G.204,rooms_table
Teaching Room 03 (G.205) - Doorway 3,14.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_00_G.205,rooms_table
00M.05 Archaeology Teaching Lab - Doorway 4,35.0,113,"Medical School, Teviot",Central,Locally Allocated Space,Specialist Room,Laboratory,Yes,0113_00M_00M.05,rooms_table
1.26 Meeting/ Tutorial Room - Doorway 4,10.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_01_1.26,rooms_table
Teaching Room 09 (1.416) - Doorway 3,40.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_01_1.416,rooms_table
Teaching Room 08 (1.420) - Doorway 3,20.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_01_1.42,rooms_table
Room 425 Anatomy Lecture Theatre - Doorway 3,260.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0113_01_1.425,rooms_table
Teaching Room 07 (1.434) - Doorway 3,28.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_01_1.434,rooms_table
1.9 - Doorway 6,40.0,113,"Medical School, Teviot",Central,Locally Allocated Space,Specialist Room,Video Conference,Yes,0113_01_1.9,rooms_table
01M.19 Meeting Room - Doorway 4,14.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_01M_01M.19,rooms_table
01M.20 Meeting/ Tutorial Room - Doorway 4,12.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_01M_01M.20,rooms_table
01M.27 Meeting / Tutorial Room - Doorway 4,12.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_01M_01M.27,rooms_table
Room 452 East/West Lab - Doorway 3,114.0,113,"Medical School, Teviot",Central,Locally Allocated Space,Specialist Room,Laboratory,Yes,0113_01M_01M.452,rooms_table
Room 467 Small Anatomy Teaching Lab - Doorway 3,25.0,113,"Medical School, Teviot",Central,Locally Allocated Space,Specialist Room,Licenced Teaching,Yes,0113_01M_01M.467,rooms_table
Teaching Room 12 (01M.469) - Doorway 3,40.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_01M_01M.469,rooms_table
Teaching Room 13 (01M.473) - Doorway 3,48.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_01M_01M.473,rooms_table
Teaching Room 14 (01M.474) - Doorway 3,10.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_01M_01M.474,rooms_table
2.26 Meeting/ Tutorial Room - Doorway 4,12.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0113_02_2.26,rooms_table
2.27 Meeting/ Tutorial Room - Doorway 4,12.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_02_2.27,rooms_table
2.36 Teaching Computer Lab - Doorway 4,24.0,113,"Medical School, Teviot",Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0113_02_2.36,rooms_table
Room 265 Anatomy Teaching Lab - Doorway 3,70.0,113,"Medical School, Teviot",Central,Locally Allocated Space,Specialist Room,Laboratory,Yes,0113_02_2.65,rooms_table
02M.24 Meeting/ Tutorial Room - Doorway 4,10.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_02M_02M.24,rooms_table
3.3 - Doorway 6,10.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0113_03_3.3,rooms_table
SR4,24.0,8,Minto House,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0008_00_G.251,rooms_table
SR5,16.0,8,Minto House,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0008_00_G.252,rooms_table
G.267 (Matthew Gallery),30.0,8,Minto House,Central,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0008_00_G.267,rooms_table
1.302 (Crit Room 2),25.0,8,Minto House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0008_01_1.302,rooms_table
1.306 (Studio 2),93.0,8,Minto House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0008_01_1.306,rooms_table
2.355 (Studio 3),59.0,8,Minto House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0008_02_2.355,rooms_table
2.365 (Geddes Seminar Room),16.0,8,Minto House,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0008_02_2.365,rooms_table
2.403 (Elliot Seminar Room),45.0,8,Minto House,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0008_02_2.403,rooms_table
2.418 (AHT Base),18.0,8,Minto House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0008_02_2.418,rooms_table
3.451 (Studio 5),41.0,8,Minto House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0008_03_3.451,rooms_table
3.454 (Studio 4),60.0,8,Minto House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0008_03_3.454,rooms_table
SR1,14.0,8,Minto House,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0008_-1_B.152,rooms_table
SR2,15.0,8,Minto House,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0008_-1_B.153,rooms_table
SR3,15.0,8,Minto House,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0008_-1_B.154,rooms_table
B.157 (Volume 1),28.0,8,Minto House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0008_-1_B.157,rooms_table
B.162 (Volume 2),29.0,8,Minto House,Central,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0008_-1_B.162,rooms_table
G.158 - Quad Teaching Room,30.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_00_G.158,rooms_table
G.159 - MacLaren Stuart Room,108.0,1,Old College,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0001_00_G.159,rooms_table
Usha Kasera Lecture Theatre,150.0,1,Old College,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0001_01_1.264,rooms_table
Teaching Room 01,22.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_01_1.265,rooms_table
Teaching Room 02,24.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_01_1.266,rooms_table
Teaching Room 03,26.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_01_1.267,rooms_table
Teaching Room 04,16.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_01_1.270,rooms_table
Teaching Room 05,22.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_01_1.273,rooms_table
Teaching Room 06,22.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_01_1.274,rooms_table
Teaching Room 07,30.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_01_1.275,rooms_table
Moot Court Room - Law only,22.0,1,Old College,Central,Locally Allocated Space,Specialist Room,Moot Court,Yes,0001_01_1.276,rooms_table
Teaching Room 12,16.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_02_2.343,rooms_table
Teaching Room 11,16.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_02_2.345,rooms_table
Teaching Room 10,16.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_02_2.347,rooms_table
Teaching Room 09,16.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_02_2.349,rooms_table
Teaching Room 08,16.0,1,Old College,Central,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0001_02_2.351,rooms_table
G10 - Drummond Library (access via Drummond Library entrance),36.0,313,Old Surgeons Hall,Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0313_00_G.10,rooms_table
Reid Concert Hall Auditorium,218.0,115,Reid School,Central,Centrally Allocated Space,Specialist Room,Theatre/Concert Hall,Yes,0115_00_G.22,rooms_table
Lecture Theatre G.04,139.0,210,Robson Building,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0210_00_G.04,rooms_table
Greenfield Main Lab (GFS1),42.0,210,Robson Building,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0210_00_GFS1,rooms_table
Greenfield Small Lab (GFS2),20.0,210,Robson Building,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0210_00_GFS2,rooms_table
Greenfield Side Room 2 (GFS-SR2),6.0,210,Robson Building,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0210_00_GFSSR2,rooms_table
Greenfield Side Room 3 (GFS-SR3),6.0,210,Robson Building,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0210_00-GFSSR3,rooms_table
Greenfield Side Room 4 (GFS-SR4),10.0,210,Robson Building,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0210_00-GFSSR4,rooms_table
Greenfield Side Room 5 (GFS-SR5),10.0,210,Robson Building,Central,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0210_00-GFSSR5,rooms_table
Computer Lab B.51 - 65 cap,65.0,210,Robson Building,Central,Locally Allocated Space,IT Infrastructure Computer Lab,Computer Laboratory,Yes,0210_-1_B.51,rooms_table
Computer Lab B.51 - 129 cap,129.0,210,Robson Building,Central,Locally Allocated Space,IT Infrastructure Computer Lab,Computer Laboratory,Yes,0210_-1_B.51-2,rooms_table
Large Animal Clinical Skills Lab,42.0,704,Block F,Easter Bush,Locally Allocated Space,Specialist Room,Laboratory,Yes,0704_00_G.04,rooms_table
F-Block Tutorial Room 3,22.0,704,Block F,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0704_00_G.13.14,rooms_table
F-Block Wetlab,42.0,704,Block F,Easter Bush,Locally Allocated Space,Specialist Room,Laboratory,Yes,0704_00_G.22,rooms_table
Exotics Unit,20.0,704,Block F,Easter Bush,Locally Allocated Space,Specialist Room,Laboratory,Yes,0704_00_G.25,rooms_table
Equine Stables,40.0,732,Equine Hospital,Easter Bush,Locally Allocated Space,Specialist Room,Training Room,Yes,0732_00_XX,rooms_table
Langhill G.12,30.0,748,Langhill Farm Office,Easter Bush,Locally Allocated Space,Specialist Room,Laboratory,Yes,0748_00_G.12,rooms_table
FAH R26,42.0,727,Large Animal Hospital,Easter Bush,Locally Allocated Space,Specialist Room,General Teaching,Yes,0727_00_GB.26,rooms_table
