scenario,student_id,programme,n_scheduled_events,clash_count,has_clash,days_considered,free_lunch_days,has_majority_lunch
S1,Student06765,Mathematics (MMath Hons) (Year 4),7,1,1,4,3,1
S1,Student06766,Mathematics (BSc Hons) (Year 3),8,2,1,4,2,0
S1,Student06767,Geography (MA Hons) (Year 4),5,1,1,3,3,1
S1,Student06768,Mathematics (BSc Hons) (Year 4),10,3,1,3,3,1
S1,Student06769,Applied Mathematics (BSc Hons) (Year 4),4,1,1,2,0,0
S1,Student06770,History (MA Hons) (Year 4),2,0,0,2,1,0
S1,Student06771,Electrical and Mechanical Engineering (MEng Hons) (Year 4),12,4,1,5,2,0
S1,Student06772,Law and French (LLB Hons) (Year 4),11,7,1,4,2,0
S1,Student06774,English Language (MA Hons) (Year 3),3,0,0,3,2,1
S1,Student06775,Physical Education MA (Hons) (Year 4),9,6,1,2,1,0
S1,Student06776,Chemical Physics (MChemPhys) (Year 4),8,5,1,4,3,1
S1,Student06777,Business and Law MA (Hons) (Year 4),5,1,1,3,2,1
S1,Student06778,Sociology (MA Hons) (Year 4),2,0,0,2,1,0
S1,Student06779,Archaeology (MA Hons) (Year 4),2,0,0,1,0,0
S1,Student06780,Classical Studies (MA Hons) (Year 4),4,1,1,3,1,0
S1,Student06781,History (MA Hons) (Year 4),2,1,1,1,0,0
S1,Student06782,Mathematics (BSc Hons) (Year 4),8,0,0,4,3,1
S1,Student06783,Infectious Diseases BSc (Hons) (Year 4),10,9,1,5,3,1
S1,Student06784,Philosophy (MA Hons) (Year 4),1,0,0,1,1,1
S1,Student06785,History and Economics MA (Hons) (Year 4),5,0,0,3,2,1
S1,Student06786,Linguistics (MA Hons) (Year 4),1,0,0,1,0,0
S1,Student06787,Biological Sciences (BSc Hons) (Year 1),7,1,1,5,1,0
S1,Student06788,Computer Science (BSc Hons) (Year 4),8,1,1,4,3,1
S1,Student06789,Physical Education MA (Hons) (Year 4),9,6,1,2,1,0
S1,Student06790,English Literature (MA Hons) (Year 3),3,0,0,2,2,1
S1,Student06791,Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),4,0,0,4,3,1
S1,Student06792,Sustainable Development (Sociology) MA (Hons) - 4 Years (Full-Time) (Year 4),2,0,0,2,1,0
S1,Student06793,Mechanical Engineering (BEng Hons) (Year 4),10,2,1,5,3,1
S1,Student06794,Linguistics and English Language (MA Hons) (Year 4),4,0,0,3,1,0
S1,Student06795,Electrical and Mechanical Engineering (MEng Hons) (Year 4),13,7,1,4,1,0
S1,Student06796,Electronics and Electrical Engineering (BEng Hons) (Year 4),9,0,0,5,2,0
S1,Student06797,English Language and Literature (MA Hons) (Year 4),2,0,0,2,0,0
S1,Student06798,Business Management MA (Hons) (Year 4),6,0,0,4,2,0
S1,Student06799,Anatomy and Development BSc (Hons) (Year 4),6,1,1,5,5,1
S1,Student06800,Mechanical Engineering (MEng Hons) (Year 3),9,1,1,5,2,0
S1,Student06801,Sustainable Development (Geography) MA (Hons) - 4 Years (Full-Time) (Year 3),12,6,1,5,3,1
S1,Student06802,Business and Geography MA (Hons) (Year 4),4,2,1,2,1,0
S1,Student06803,Spanish and History (MA Hons) (Year 4),4,0,0,3,0,0
S1,Student06804,Economics with Finance (MA Hons) (Year 4),5,0,0,4,2,0
S1,Student06805,History (MA Hons) (Year 4),2,0,0,2,2,1
S1,Student06806,Biomedical Sciences BSc (Hons) (Year 4),6,0,0,5,3,1
S1,Student06807,Physical Education MA (Hons) (Year 4),6,4,1,2,2,1
S1,Student06808,English Literature and History (MA Hons) (Year 4),1,0,0,1,1,1
S1,Student06809,Geography (MA Hons) (Year 3),7,0,0,4,3,1
S1,Student06810,History (MA Hons) (Year 4),1,0,0,1,1,1
S1,Student06811,Computer Science and Mathematics (BSc Hons) (Year 4),5,0,0,3,0,0
S1,Student06812,Counselling (Interpersonal Dialogue) (MCouns) (Full-time) - 2 years (Year 1),1,0,0,1,1,1
S1,Student06813,Mechanical Engineering (MEng Hons) (Year 3),1,0,0,1,0,0
S1,Student06814,Philosophy and Economics (MA Hons) (Year 3),7,2,1,4,2,0
S1,Student06815,History (MA Hons) (Year 4),2,0,0,2,2,1
S1,Student06816,Geophysics and Meteorology (BSc Hons) (Year 4),10,3,1,5,3,1
S1,Student06817,High Performance Computing with Data Science (MSc) (Full-time) (Year 1),11,1,1,5,2,0
S1,Student06818,Nursing (BN) (Year 4),9,8,1,2,1,0
S1,Student06819,Geography and Social Policy (MA Hons) (Year 4),3,0,0,3,0,0
S1,Student06820,German (MA Hons) (Year 4),6,0,0,4,2,0
S1,Student06821,Economics and Mathematics (MA Hons) (Year 4),3,0,0,2,1,0
S1,Student06822,Economics (MA Hons) (Year 4),3,0,0,2,1,0
S1,Student06823,Chemical Engineering (MEng Hons) (Year 4),9,1,1,4,2,0
S1,Student06824,Business and Geography MA (Hons) (Year 4),6,2,1,3,2,1
S1,Student06825,History of Art (MA Hons) (Year 4),2,0,0,2,2,1
S1,Student06826,Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),4,0,0,2,0,0
S1,Student06827,Performance Costume (BA Hons) (Year 4),11,5,1,4,1,0
